 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
734,11,255,13.8995,0.7155,1.2156,0.8226,0.7857
735,4,255,7.6569,0.8574,2.0000,0.5000,0.8000
736,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
737,18,255,22.9706,0.4287,1.3007,0.7688,0.5455
738,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
739,17,255,14.4853,1.0000,1.3886,0.7202,0.9444
740,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
741,9,255,14.7279,0.5214,1.7900,0.5587,0.6000
742,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
743,11,255,11.8995,0.9762,1.7722,0.5643,0.8462
744,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
745,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
746,12,255,15.8995,0.5965,1.6032,0.6237,0.7273
747,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
748,5,255,12.7279,0.3879,5.0000,0.2000,0.5263
749,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
750,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
751,8,255,10.4853,0.9144,1.3083,0.7643,0.8000
752,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
753,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
754,10,255,10.4853,1.0000,1.5512,0.6447,0.9091
755,17,255,19.5563,0.5586,2.2952,0.4357,0.6939
756,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
757,8,255,11.8995,0.7100,1.8559,0.5388,0.6957
758,4,255,10.4853,0.4572,1.5173,0.6591,0.5714
759,10,255,13.3137,0.7089,1.5915,0.6283,0.7692
760,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
761,15,255,13.0711,1.0000,1.1366,0.8798,0.9677
762,4,255,8.4853,0.6981,2.6538,0.3768,0.6667
763,34,255,37.6985,0.3006,2.8856,0.3465,0.5231
764,8,255,10.4853,0.9144,1.4158,0.7063,0.8000
765,30,255,28.6274,0.4600,2.8397,0.3522,0.6977
766,35,255,31.2132,0.4514,2.9395,0.3402,0.5785
767,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
768,8,255,11.0711,0.8202,2.5640,0.3900,0.8889
769,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
770,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
771,16,255,13.8995,1.0000,1.3919,0.7184,0.8889
772,7,255,9.0711,1.0000,1.0688,0.9356,0.8750
773,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
774,285,255,179.7229,0.1109,2.1827,0.4582,0.4806
775,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
776,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
777,12,255,12.4853,0.9674,1.9394,0.5156,0.8889
778,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
779,7,255,11.8995,0.6212,2.0688,0.4834,0.7000
780,7,255,9.6569,0.9433,1.9357,0.5166,0.9333
781,19,255,26.3848,0.3430,3.1914,0.3133,0.5507
782,28,255,18.7279,1.0000,1.0782,0.9275,0.8889
783,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
784,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
785,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
786,3,255,7.0711,0.7540,2.7020,0.3701,0.6667
787,26,255,30.6274,0.3483,1.9705,0.5075,0.5532
788,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
789,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
790,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
791,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
792,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
793,25,255,28.6274,0.3833,2.9051,0.3442,0.6024
794,9,255,11.3137,0.8836,1.1578,0.8637,0.7500
795,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
796,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
797,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
798,4,255,7.0711,1.0000,2.0313,0.4923,0.8000
799,7,255,10.4853,0.8001,1.5712,0.6365,0.7368
800,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
801,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
802,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
803,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
804,7,255,10.4853,0.8001,2.2105,0.4524,0.7778
805,28,255,24.9706,0.5643,1.9787,0.5054,0.6914
806,11,255,16.7279,0.4940,3.4941,0.2862,0.6286
807,7,255,9.0711,1.0000,1.3797,0.7248,0.8750
808,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
809,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
810,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
811,11,255,15.8995,0.5468,4.1422,0.2414,0.6875
812,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
813,46,255,24.9706,0.9271,1.0963,0.9122,0.8762
814,17,255,21.5563,0.4597,1.0969,0.9116,0.6182
815,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
816,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
817,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
818,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
819,68,255,72.9117,0.1607,2.2501,0.4444,0.4564
820,3,255,7.0711,0.7540,2.7020,0.3701,0.6667
821,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
822,11,255,16.1421,0.5305,1.5752,0.6348,0.6667
823,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
824,4,255,7.6569,0.8574,1.4676,0.6814,0.8000
825,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
826,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
827,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
828,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
829,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
830,7,255,10.4853,0.8001,2.1228,0.4711,0.8750
831,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
832,14,255,12.4853,1.0000,1.0199,0.9805,0.9333
833,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
834,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
835,3,255,7.0711,0.7540,2.7020,0.3701,0.6667
836,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
837,15,255,13.8995,0.9757,1.4858,0.6730,0.8571
838,4,255,7.0711,1.0000,2.0000,0.5000,0.8000
839,23,255,20.7279,0.6727,2.1440,0.4664,0.8070
840,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
841,36,255,24.9706,0.7255,1.6735,0.5976,0.8276
842,7,255,8.4853,1.0000,1.5964,0.6264,0.8750
843,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
844,4,255,7.6569,0.8574,2.0000,0.5000,0.8000
845,15,255,19.5563,0.4929,2.6912,0.3716,0.7143
846,5,255,9.0711,0.7636,2.6100,0.3831,0.7692
847,50,255,45.3553,0.3054,2.5089,0.3986,0.5263
848,4,255,7.6569,0.8574,2.0000,0.5000,0.8000
849,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
850,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
851,25,255,17.8995,0.9805,1.0797,0.9261,0.9091
852,9,255,10.4853,1.0000,1.3403,0.7461,0.8571
853,22,255,20.1421,0.6814,2.5473,0.3926,0.7719
854,26,255,26.7279,0.4574,3.6653,0.2728,0.8525
855,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
856,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
857,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
858,13,255,14.4853,0.7786,1.8289,0.5468,0.8387
859,13,255,12.4853,1.0000,1.4501,0.6896,0.8966
860,11,255,14.7279,0.6373,1.8402,0.5434,0.7857
861,10,255,16.7279,0.4491,2.6643,0.3753,0.6452
862,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
863,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
864,13,255,14.7279,0.7531,1.5360,0.6510,0.7027
865,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
866,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
867,9,255,11.3137,0.8836,1.3896,0.7196,0.7500
868,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
869,2,255,4.8284,1.0000,2.0000,0.5000,1.0000
870,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
871,4,255,7.6569,0.8574,1.4676,0.6814,0.8000
872,11,255,20.1421,0.3407,1.9290,0.5184,0.5641
873,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
874,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
875,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
876,9,255,11.3137,0.8836,1.1578,0.8637,0.7500
877,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
878,17,255,20.9706,0.4858,3.3009,0.3030,0.5667
879,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
880,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
881,50,255,39.6985,0.3987,1.3955,0.7166,0.6849
882,10,255,17.3137,0.4192,3.8155,0.2621,0.5882
883,3,255,7.0711,0.7540,2.7020,0.3701,0.6667
884,49,255,41.6985,0.3541,3.4842,0.2870,0.7050
885,4,255,7.6569,0.8574,2.0000,0.5000,0.8000
886,29,255,22.9706,0.6907,2.1486,0.4654,0.8286
887,8,255,10.4853,0.9144,1.9386,0.5158,0.8421
888,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
889,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
890,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
891,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
892,5,255,7.0711,1.0000,1.5530,0.6439,0.9091
893,8,255,13.3137,0.5672,1.8504,0.5404,0.6667
894,57,255,40.2843,0.4414,2.7071,0.3694,0.7355
895,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
896,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
897,15,255,16.1421,0.7234,1.7701,0.5649,0.7317
898,3,255,6.2426,0.9674,3.0000,0.3333,1.0000
899,19,255,17.5563,0.7746,1.5575,0.6421,0.8085
900,184,255,90.2254,0.2840,1.4898,0.6712,0.6123
901,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
902,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
903,4,255,7.0711,1.0000,1.4676,0.6814,0.8000
904,5,255,9.0711,0.7636,2.6100,0.3831,0.7692
905,17,255,16.7279,0.7634,1.4789,0.6762,0.8500
906,12,255,14.7279,0.6952,2.6251,0.3809,0.7273
907,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
908,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
909,4,255,7.0711,1.0000,1.4676,0.6814,0.8000
910,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
