 ,Area,Mean,Perim.,Circ.,AR,Round,Solidity
1730,4,255,7.0711,1.0000,1.4676,0.6814,0.8000
1731,11,255,13.3137,0.7798,1.2366,0.8087,0.7857
1732,8,255,9.0711,1.0000,1.2286,0.8139,0.9412
1733,5,255,8.4853,0.8727,1.0000,1.0000,0.7143
1734,14,255,12.4853,1.0000,1.1245,0.8893,0.9333
1735,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
1736,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1737,6,255,10.4853,0.6858,1.1619,0.8607,0.7500
1738,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1739,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
1740,6,255,8.4853,1.0000,1.2910,0.7746,0.8000
1741,4,255,5.6569,1.0000,1.0000,1.0000,1.0000
1742,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
1743,17,255,13.8995,1.0000,1.2632,0.7917,0.9189
1744,2,255,5.6569,0.7854,2.6457,0.3780,0.6667
1745,17,255,14.4853,1.0000,1.1339,0.8819,0.9189
1746,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1747,3,255,5.6569,1.0000,1.4638,0.6831,0.8571
1748,5,255,8.4853,0.8727,1.0000,1.0000,0.7143
1749,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1750,5,255,7.0711,1.0000,1.5530,0.6439,0.9091
1751,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1752,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1753,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1754,167,255,61.4558,0.5556,2.7667,0.3614,0.8227
1755,24,255,17.0711,1.0000,1.0913,0.9164,0.9796
1756,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1757,1,255,2.8284,1.0000,1.0000,1.0000,1.0000
1758,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1759,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
1760,3,255,5.6569,1.0000,1.4639,0.6831,0.8571
1761,6,255,7.6569,1.0000,1.5000,0.6667,1.0000
1762,5,255,7.6569,1.0000,1.5530,0.6439,0.9091
1763,187,255,59.1127,0.6725,2.4344,0.4108,0.8718
1764,12,255,11.8995,1.0000,1.2812,0.7805,0.8571
1765,9,255,10.4853,1.0000,1.3403,0.7461,0.8571
1766,21,255,15.3137,1.0000,1.0000,1.0000,0.9130
1767,27,255,17.5563,1.0000,1.0586,0.9446,0.8852
1768,2,255,4.2426,1.0000,2.0000,0.5000,1.0000
